datekey|data|ano|mes|trimestre|inicio_semana|range_semana|ano_mes|mes_ano|numero_semana|ano_mes_semana|dia_da_semana|dia_da_semana_completo|mes_texto|mes_texto_completo
29|2019-01-30 00:00:00|2,019|1|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/01|01/2019|4|2019/01 4|QUA|QUARTA-FEIRA|JAN|JANEIRO
30|2019-01-31 00:00:00|2,019|1|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/01|01/2019|4|2019/01 4|QUI|QUINTA-FEIRA|JAN|JANEIRO
31|2019-02-01 00:00:00|2,019|2|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/02|02/2019|4|2019/01 4|SEX|SEXTA-FEIRA|FEV|FEVEREIRO
32|2019-02-02 00:00:00|2,019|2|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/02|02/2019|4|2019/01 4|SAB|SÁBADO|FEV|FEVEREIRO
33|2019-02-03 00:00:00|2,019|2|1|2019-01-28 00:00:00|(28/01 A 03/02)|2019/02|02/2019|4|2019/01 4|DOM|DOMINGO|FEV|FEVEREIRO
34|2019-02-04 00:00:00|2,019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|SEG|SEGUNDA-FEIRA|FEV|FEVEREIRO
35|2019-02-05 00:00:00|2,019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|TER|TERÇA-FEIRA|FEV|FEVEREIRO
36|2019-02-06 00:00:00|2,019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|QUA|QUARTA-FEIRA|FEV|FEVEREIRO
37|2019-02-07 00:00:00|2,019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|QUI|QUINTA-FEIRA|FEV|FEVEREIRO
38|2019-02-08 00:00:00|2,019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|SEX|SEXTA-FEIRA|FEV|FEVEREIRO
39|2019-02-09 00:00:00|2,019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|SAB|SÁBADO|FEV|FEVEREIRO
40|2019-02-10 00:00:00|2,019|2|1|2019-02-04 00:00:00|(04/02 A 10/02)|2019/02|02/2019|1|2019/02 1|DOM|DOMINGO|FEV|FEVEREIRO
41|2019-02-11 00:00:00|2,019|2|1|2019-02-11 00:00:00|(11/02 A 17/02)|2019/02|02/2019|2|2019/02 2|SEG|SEGUNDA-FEIRA|FEV|FEVEREIRO
42|2019-02-12 00:00:00|2,019|2|1|2019-02-11 00:00:00|(11/02 A 17/02)|2019/02|02/2019|2|2019/02 2|TER|TERÇA-FEIRA|FEV|FEVEREIRO
43|2019-02-13 00:00:00|2,019|2|1|2019-02-11 00:00:00|(11/02 A 17/02)|2019/02|02/2019|2|2019/02 2|QUA|QUARTA-FEIRA|FEV|FEVEREIRO
44|2019-02-14 00:00:00|2,019|2|1|2019-02-11 00:00:00|(11/02 A 17/02)|2019/02|02/2019|2|2019/02 2|QUI|QUINTA-FEIRA|FEV|FEVEREIRO
45|2019-02-15 00:00:00|2,019|2|1|2019-02-11 00:00:00|(11/02 A 17/02)|2019/02|02/2019|2|2019/02 2|SEX|SEXTA-FEIRA|FEV|FEVEREIRO
46|2019-02-16 00:00:00|2,019|2|1|2019-02-11 00:00:00|(11/02 A 17/02)|2019/02|02/2019|2|2019/02 2|SAB|SÁBADO|FEV|FEVEREIRO
47|2019-02-17 00:00:00|2,019|2|1|2019-02-11 00:00:00|(11/02 A 17/02)|2019/02|02/2019|2|2019/02 2|DOM|DOMINGO|FEV|FEVEREIRO
48|2019-02-18 00:00:00|2,019|2|1|2019-02-18 00:00:00|(18/02 A 24/02)|2019/02|02/2019|3|2019/02 3|SEG|SEGUNDA-FEIRA|FEV|FEVEREIRO
49|2019-02-19 00:00:00|2,019|2|1|2019-02-18 00:00:00|(18/02 A 24/02)|2019/02|02/2019|3|2019/02 3|TER|TERÇA-FEIRA|FEV|FEVEREIRO
50|2019-02-20 00:00:00|2,019|2|1|2019-02-18 00:00:00|(18/02 A 24/02)|2019/02|02/2019|3|2019/02 3|QUA|QUARTA-FEIRA|FEV|FEVEREIRO
51|2019-02-21 00:00:00|2,019|2|1|2019-02-18 00:00:00|(18/02 A 24/02)|2019/02|02/2019|3|2019/02 3|QUI|QUINTA-FEIRA|FEV|FEVEREIRO
52|2019-02-22 00:00:00|2,019|2|1|2019-02-18 00:00:00|(18/02 A 24/02)|2019/02|02/2019|3|2019/02 3|SEX|SEXTA-FEIRA|FEV|FEVEREIRO
53|2019-02-23 00:00:00|2,019|2|1|2019-02-18 00:00:00|(18/02 A 24/02)|2019/02|02/2019|3|2019/02 3|SAB|SÁBADO|FEV|FEVEREIRO
54|2019-02-24 00:00:00|2,019|2|1|2019-02-18 00:00:00|(18/02 A 24/02)|2019/02|02/2019|3|2019/02 3|DOM|DOMINGO|FEV|FEVEREIRO
55|2019-02-25 00:00:00|2,019|2|1|2019-02-25 00:00:00|(25/02 A 03/03)|2019/02|02/2019|4|2019/02 4|SEG|SEGUNDA-FEIRA|FEV|FEVEREIRO
56|2019-02-26 00:00:00|2,019|2|1|2019-02-25 00:00:00|(25/02 A 03/03)|2019/02|02/2019|4|2019/02 4|TER|TERÇA-FEIRA|FEV|FEVEREIRO
57|2019-02-27 00:00:00|2,019|2|1|2019-02-25 00:00:00|(25/02 A 03/03)|2019/02|02/2019|4|2019/02 4|QUA|QUARTA-FEIRA|FEV|FEVEREIRO
58|2019-02-28 00:00:00|2,019|2|1|2019-02-25 00:00:00|(25/02 A 03/03)|2019/02|02/2019|4|2019/02 4|QUI|QUINTA-FEIRA|FEV|FEVEREIRO
59|2019-03-01 00:00:00|2,019|3|1|2019-02-25 00:00:00|(25/02 A 03/03)|2019/03|03/2019|4|2019/02 4|SEX|SEXTA-FEIRA|MAR|MARÇO
60|2019-03-02 00:00:00|2,019|3|1|2019-02-25 00:00:00|(25/02 A 03/03)|2019/03|03/2019|4|2019/02 4|SAB|SÁBADO|MAR|MARÇO
61|2019-03-03 00:00:00|2,019|3|1|2019-02-25 00:00:00|(25/02 A 03/03)|2019/03|03/2019|4|2019/02 4|DOM|DOMINGO|MAR|MARÇO
62|2019-03-04 00:00:00|2,019|3|1|2019-03-04 00:00:00|(04/03 A 10/03)|2019/03|03/2019|1|2019/03 1|SEG|SEGUNDA-FEIRA|MAR|MARÇO
