datekey|data|ano|mes|trimestre|inicio_semana|range_semana|ano_mes|mes_ano|numero_semana|ano_mes_semana|dia_da_semana|dia_da_semana_completo|mes_texto|mes_texto_completo
456|2020-04-01 00:00:00|2,020|4|2|2020-03-30 00:00:00|(30/03 A 05/04)|2020/04|04/2020|5|2020/03 5|QUA|QUARTA-FEIRA|ABR|ABRIL
457|2020-04-02 00:00:00|2,020|4|2|2020-03-30 00:00:00|(30/03 A 05/04)|2020/04|04/2020|5|2020/03 5|QUI|QUINTA-FEIRA|ABR|ABRIL
458|2020-04-03 00:00:00|2,020|4|2|2020-03-30 00:00:00|(30/03 A 05/04)|2020/04|04/2020|5|2020/03 5|SEX|SEXTA-FEIRA|ABR|ABRIL
459|2020-04-04 00:00:00|2,020|4|2|2020-03-30 00:00:00|(30/03 A 05/04)|2020/04|04/2020|5|2020/03 5|SAB|SÁBADO|ABR|ABRIL
460|2020-04-05 00:00:00|2,020|4|2|2020-03-30 00:00:00|(30/03 A 05/04)|2020/04|04/2020|5|2020/03 5|DOM|DOMINGO|ABR|ABRIL
461|2020-04-06 00:00:00|2,020|4|2|2020-04-06 00:00:00|(06/04 A 12/04)|2020/04|04/2020|1|2020/04 1|SEG|SEGUNDA-FEIRA|ABR|ABRIL
462|2020-04-07 00:00:00|2,020|4|2|2020-04-06 00:00:00|(06/04 A 12/04)|2020/04|04/2020|1|2020/04 1|TER|TERÇA-FEIRA|ABR|ABRIL
463|2020-04-08 00:00:00|2,020|4|2|2020-04-06 00:00:00|(06/04 A 12/04)|2020/04|04/2020|1|2020/04 1|QUA|QUARTA-FEIRA|ABR|ABRIL
464|2020-04-09 00:00:00|2,020|4|2|2020-04-06 00:00:00|(06/04 A 12/04)|2020/04|04/2020|1|2020/04 1|QUI|QUINTA-FEIRA|ABR|ABRIL
465|2020-04-10 00:00:00|2,020|4|2|2020-04-06 00:00:00|(06/04 A 12/04)|2020/04|04/2020|1|2020/04 1|SEX|SEXTA-FEIRA|ABR|ABRIL
466|2020-04-11 00:00:00|2,020|4|2|2020-04-06 00:00:00|(06/04 A 12/04)|2020/04|04/2020|1|2020/04 1|SAB|SÁBADO|ABR|ABRIL
467|2020-04-12 00:00:00|2,020|4|2|2020-04-06 00:00:00|(06/04 A 12/04)|2020/04|04/2020|1|2020/04 1|DOM|DOMINGO|ABR|ABRIL
468|2020-04-13 00:00:00|2,020|4|2|2020-04-13 00:00:00|(13/04 A 19/04)|2020/04|04/2020|2|2020/04 2|SEG|SEGUNDA-FEIRA|ABR|ABRIL
469|2020-04-14 00:00:00|2,020|4|2|2020-04-13 00:00:00|(13/04 A 19/04)|2020/04|04/2020|2|2020/04 2|TER|TERÇA-FEIRA|ABR|ABRIL
470|2020-04-15 00:00:00|2,020|4|2|2020-04-13 00:00:00|(13/04 A 19/04)|2020/04|04/2020|2|2020/04 2|QUA|QUARTA-FEIRA|ABR|ABRIL
471|2020-04-16 00:00:00|2,020|4|2|2020-04-13 00:00:00|(13/04 A 19/04)|2020/04|04/2020|2|2020/04 2|QUI|QUINTA-FEIRA|ABR|ABRIL
472|2020-04-17 00:00:00|2,020|4|2|2020-04-13 00:00:00|(13/04 A 19/04)|2020/04|04/2020|2|2020/04 2|SEX|SEXTA-FEIRA|ABR|ABRIL
473|2020-04-18 00:00:00|2,020|4|2|2020-04-13 00:00:00|(13/04 A 19/04)|2020/04|04/2020|2|2020/04 2|SAB|SÁBADO|ABR|ABRIL
474|2020-04-19 00:00:00|2,020|4|2|2020-04-13 00:00:00|(13/04 A 19/04)|2020/04|04/2020|2|2020/04 2|DOM|DOMINGO|ABR|ABRIL
475|2020-04-20 00:00:00|2,020|4|2|2020-04-20 00:00:00|(20/04 A 26/04)|2020/04|04/2020|3|2020/04 3|SEG|SEGUNDA-FEIRA|ABR|ABRIL
476|2020-04-21 00:00:00|2,020|4|2|2020-04-20 00:00:00|(20/04 A 26/04)|2020/04|04/2020|3|2020/04 3|TER|TERÇA-FEIRA|ABR|ABRIL
477|2020-04-22 00:00:00|2,020|4|2|2020-04-20 00:00:00|(20/04 A 26/04)|2020/04|04/2020|3|2020/04 3|QUA|QUARTA-FEIRA|ABR|ABRIL
478|2020-04-23 00:00:00|2,020|4|2|2020-04-20 00:00:00|(20/04 A 26/04)|2020/04|04/2020|3|2020/04 3|QUI|QUINTA-FEIRA|ABR|ABRIL
479|2020-04-24 00:00:00|2,020|4|2|2020-04-20 00:00:00|(20/04 A 26/04)|2020/04|04/2020|3|2020/04 3|SEX|SEXTA-FEIRA|ABR|ABRIL
480|2020-04-25 00:00:00|2,020|4|2|2020-04-20 00:00:00|(20/04 A 26/04)|2020/04|04/2020|3|2020/04 3|SAB|SÁBADO|ABR|ABRIL
481|2020-04-26 00:00:00|2,020|4|2|2020-04-20 00:00:00|(20/04 A 26/04)|2020/04|04/2020|3|2020/04 3|DOM|DOMINGO|ABR|ABRIL
482|2020-04-27 00:00:00|2,020|4|2|2020-04-27 00:00:00|(27/04 A 03/05)|2020/04|04/2020|4|2020/04 4|SEG|SEGUNDA-FEIRA|ABR|ABRIL
483|2020-04-28 00:00:00|2,020|4|2|2020-04-27 00:00:00|(27/04 A 03/05)|2020/04|04/2020|4|2020/04 4|TER|TERÇA-FEIRA|ABR|ABRIL
484|2020-04-29 00:00:00|2,020|4|2|2020-04-27 00:00:00|(27/04 A 03/05)|2020/04|04/2020|4|2020/04 4|QUA|QUARTA-FEIRA|ABR|ABRIL
485|2020-04-30 00:00:00|2,020|4|2|2020-04-27 00:00:00|(27/04 A 03/05)|2020/04|04/2020|4|2020/04 4|QUI|QUINTA-FEIRA|ABR|ABRIL
486|2020-05-01 00:00:00|2,020|5|2|2020-04-27 00:00:00|(27/04 A 03/05)|2020/05|05/2020|4|2020/04 4|SEX|SEXTA-FEIRA|MAI|MAIO
487|2020-05-02 00:00:00|2,020|5|2|2020-04-27 00:00:00|(27/04 A 03/05)|2020/05|05/2020|4|2020/04 4|SAB|SÁBADO|MAI|MAIO
488|2020-05-03 00:00:00|2,020|5|2|2020-04-27 00:00:00|(27/04 A 03/05)|2020/05|05/2020|4|2020/04 4|DOM|DOMINGO|MAI|MAIO
489|2020-05-04 00:00:00|2,020|5|2|2020-05-04 00:00:00|(04/05 A 10/05)|2020/05|05/2020|1|2020/05 1|SEG|SEGUNDA-FEIRA|MAI|MAIO
490|2020-05-05 00:00:00|2,020|5|2|2020-05-04 00:00:00|(04/05 A 10/05)|2020/05|05/2020|1|2020/05 1|TER|TERÇA-FEIRA|MAI|MAIO
491|2020-05-06 00:00:00|2,020|5|2|2020-05-04 00:00:00|(04/05 A 10/05)|2020/05|05/2020|1|2020/05 1|QUA|QUARTA-FEIRA|MAI|MAIO
492|2020-05-07 00:00:00|2,020|5|2|2020-05-04 00:00:00|(04/05 A 10/05)|2020/05|05/2020|1|2020/05 1|QUI|QUINTA-FEIRA|MAI|MAIO
493|2020-05-08 00:00:00|2,020|5|2|2020-05-04 00:00:00|(04/05 A 10/05)|2020/05|05/2020|1|2020/05 1|SEX|SEXTA-FEIRA|MAI|MAIO
494|2020-05-09 00:00:00|2,020|5|2|2020-05-04 00:00:00|(04/05 A 10/05)|2020/05|05/2020|1|2020/05 1|SAB|SÁBADO|MAI|MAIO
495|2020-05-10 00:00:00|2,020|5|2|2020-05-04 00:00:00|(04/05 A 10/05)|2020/05|05/2020|1|2020/05 1|DOM|DOMINGO|MAI|MAIO
496|2020-05-11 00:00:00|2,020|5|2|2020-05-11 00:00:00|(11/05 A 17/05)|2020/05|05/2020|2|2020/05 2|SEG|SEGUNDA-FEIRA|MAI|MAIO
497|2020-05-12 00:00:00|2,020|5|2|2020-05-11 00:00:00|(11/05 A 17/05)|2020/05|05/2020|2|2020/05 2|TER|TERÇA-FEIRA|MAI|MAIO
498|2020-05-13 00:00:00|2,020|5|2|2020-05-11 00:00:00|(11/05 A 17/05)|2020/05|05/2020|2|2020/05 2|QUA|QUARTA-FEIRA|MAI|MAIO
499|2020-05-14 00:00:00|2,020|5|2|2020-05-11 00:00:00|(11/05 A 17/05)|2020/05|05/2020|2|2020/05 2|QUI|QUINTA-FEIRA|MAI|MAIO
500|2020-05-15 00:00:00|2,020|5|2|2020-05-11 00:00:00|(11/05 A 17/05)|2020/05|05/2020|2|2020/05 2|SEX|SEXTA-FEIRA|MAI|MAIO
501|2020-05-16 00:00:00|2,020|5|2|2020-05-11 00:00:00|(11/05 A 17/05)|2020/05|05/2020|2|2020/05 2|SAB|SÁBADO|MAI|MAIO
502|2020-05-17 00:00:00|2,020|5|2|2020-05-11 00:00:00|(11/05 A 17/05)|2020/05|05/2020|2|2020/05 2|DOM|DOMINGO|MAI|MAIO
503|2020-05-18 00:00:00|2,020|5|2|2020-05-18 00:00:00|(18/05 A 24/05)|2020/05|05/2020|3|2020/05 3|SEG|SEGUNDA-FEIRA|MAI|MAIO
504|2020-05-19 00:00:00|2,020|5|2|2020-05-18 00:00:00|(18/05 A 24/05)|2020/05|05/2020|3|2020/05 3|TER|TERÇA-FEIRA|MAI|MAIO
505|2020-05-20 00:00:00|2,020|5|2|2020-05-18 00:00:00|(18/05 A 24/05)|2020/05|05/2020|3|2020/05 3|QUA|QUARTA-FEIRA|MAI|MAIO
506|2020-05-21 00:00:00|2,020|5|2|2020-05-18 00:00:00|(18/05 A 24/05)|2020/05|05/2020|3|2020/05 3|QUI|QUINTA-FEIRA|MAI|MAIO
507|2020-05-22 00:00:00|2,020|5|2|2020-05-18 00:00:00|(18/05 A 24/05)|2020/05|05/2020|3|2020/05 3|SEX|SEXTA-FEIRA|MAI|MAIO
508|2020-05-23 00:00:00|2,020|5|2|2020-05-18 00:00:00|(18/05 A 24/05)|2020/05|05/2020|3|2020/05 3|SAB|SÁBADO|MAI|MAIO
509|2020-05-24 00:00:00|2,020|5|2|2020-05-18 00:00:00|(18/05 A 24/05)|2020/05|05/2020|3|2020/05 3|DOM|DOMINGO|MAI|MAIO
510|2020-05-25 00:00:00|2,020|5|2|2020-05-25 00:00:00|(25/05 A 31/05)|2020/05|05/2020|4|2020/05 4|SEG|SEGUNDA-FEIRA|MAI|MAIO
511|2020-05-26 00:00:00|2,020|5|2|2020-05-25 00:00:00|(25/05 A 31/05)|2020/05|05/2020|4|2020/05 4|TER|TERÇA-FEIRA|MAI|MAIO
512|2020-05-27 00:00:00|2,020|5|2|2020-05-25 00:00:00|(25/05 A 31/05)|2020/05|05/2020|4|2020/05 4|QUA|QUARTA-FEIRA|MAI|MAIO
513|2020-05-28 00:00:00|2,020|5|2|2020-05-25 00:00:00|(25/05 A 31/05)|2020/05|05/2020|4|2020/05 4|QUI|QUINTA-FEIRA|MAI|MAIO
514|2020-05-29 00:00:00|2,020|5|2|2020-05-25 00:00:00|(25/05 A 31/05)|2020/05|05/2020|4|2020/05 4|SEX|SEXTA-FEIRA|MAI|MAIO
515|2020-05-30 00:00:00|2,020|5|2|2020-05-25 00:00:00|(25/05 A 31/05)|2020/05|05/2020|4|2020/05 4|SAB|SÁBADO|MAI|MAIO
516|2020-05-31 00:00:00|2,020|5|2|2020-05-25 00:00:00|(25/05 A 31/05)|2020/05|05/2020|4|2020/05 4|DOM|DOMINGO|MAI|MAIO
517|2020-06-01 00:00:00|2,020|6|2|2020-06-01 00:00:00|(01/06 A 07/06)|2020/06|06/2020|1|2020/06 1|SEG|SEGUNDA-FEIRA|JUN|JUNHO
518|2020-06-02 00:00:00|2,020|6|2|2020-06-01 00:00:00|(01/06 A 07/06)|2020/06|06/2020|1|2020/06 1|TER|TERÇA-FEIRA|JUN|JUNHO
519|2020-06-03 00:00:00|2,020|6|2|2020-06-01 00:00:00|(01/06 A 07/06)|2020/06|06/2020|1|2020/06 1|QUA|QUARTA-FEIRA|JUN|JUNHO
520|2020-06-04 00:00:00|2,020|6|2|2020-06-01 00:00:00|(01/06 A 07/06)|2020/06|06/2020|1|2020/06 1|QUI|QUINTA-FEIRA|JUN|JUNHO
521|2020-06-05 00:00:00|2,020|6|2|2020-06-01 00:00:00|(01/06 A 07/06)|2020/06|06/2020|1|2020/06 1|SEX|SEXTA-FEIRA|JUN|JUNHO
522|2020-06-06 00:00:00|2,020|6|2|2020-06-01 00:00:00|(01/06 A 07/06)|2020/06|06/2020|1|2020/06 1|SAB|SÁBADO|JUN|JUNHO
523|2020-06-07 00:00:00|2,020|6|2|2020-06-01 00:00:00|(01/06 A 07/06)|2020/06|06/2020|1|2020/06 1|DOM|DOMINGO|JUN|JUNHO
524|2020-06-08 00:00:00|2,020|6|2|2020-06-08 00:00:00|(08/06 A 14/06)|2020/06|06/2020|2|2020/06 2|SEG|SEGUNDA-FEIRA|JUN|JUNHO
525|2020-06-09 00:00:00|2,020|6|2|2020-06-08 00:00:00|(08/06 A 14/06)|2020/06|06/2020|2|2020/06 2|TER|TERÇA-FEIRA|JUN|JUNHO
526|2020-06-10 00:00:00|2,020|6|2|2020-06-08 00:00:00|(08/06 A 14/06)|2020/06|06/2020|2|2020/06 2|QUA|QUARTA-FEIRA|JUN|JUNHO
527|2020-06-11 00:00:00|2,020|6|2|2020-06-08 00:00:00|(08/06 A 14/06)|2020/06|06/2020|2|2020/06 2|QUI|QUINTA-FEIRA|JUN|JUNHO
528|2020-06-12 00:00:00|2,020|6|2|2020-06-08 00:00:00|(08/06 A 14/06)|2020/06|06/2020|2|2020/06 2|SEX|SEXTA-FEIRA|JUN|JUNHO
529|2020-06-13 00:00:00|2,020|6|2|2020-06-08 00:00:00|(08/06 A 14/06)|2020/06|06/2020|2|2020/06 2|SAB|SÁBADO|JUN|JUNHO
530|2020-06-14 00:00:00|2,020|6|2|2020-06-08 00:00:00|(08/06 A 14/06)|2020/06|06/2020|2|2020/06 2|DOM|DOMINGO|JUN|JUNHO
531|2020-06-15 00:00:00|2,020|6|2|2020-06-15 00:00:00|(15/06 A 21/06)|2020/06|06/2020|3|2020/06 3|SEG|SEGUNDA-FEIRA|JUN|JUNHO
532|2020-06-16 00:00:00|2,020|6|2|2020-06-15 00:00:00|(15/06 A 21/06)|2020/06|06/2020|3|2020/06 3|TER|TERÇA-FEIRA|JUN|JUNHO
533|2020-06-17 00:00:00|2,020|6|2|2020-06-15 00:00:00|(15/06 A 21/06)|2020/06|06/2020|3|2020/06 3|QUA|QUARTA-FEIRA|JUN|JUNHO
534|2020-06-18 00:00:00|2,020|6|2|2020-06-15 00:00:00|(15/06 A 21/06)|2020/06|06/2020|3|2020/06 3|QUI|QUINTA-FEIRA|JUN|JUNHO
535|2020-06-19 00:00:00|2,020|6|2|2020-06-15 00:00:00|(15/06 A 21/06)|2020/06|06/2020|3|2020/06 3|SEX|SEXTA-FEIRA|JUN|JUNHO
536|2020-06-20 00:00:00|2,020|6|2|2020-06-15 00:00:00|(15/06 A 21/06)|2020/06|06/2020|3|2020/06 3|SAB|SÁBADO|JUN|JUNHO
537|2020-06-21 00:00:00|2,020|6|2|2020-06-15 00:00:00|(15/06 A 21/06)|2020/06|06/2020|3|2020/06 3|DOM|DOMINGO|JUN|JUNHO
538|2020-06-22 00:00:00|2,020|6|2|2020-06-22 00:00:00|(22/06 A 28/06)|2020/06|06/2020|4|2020/06 4|SEG|SEGUNDA-FEIRA|JUN|JUNHO
539|2020-06-23 00:00:00|2,020|6|2|2020-06-22 00:00:00|(22/06 A 28/06)|2020/06|06/2020|4|2020/06 4|TER|TERÇA-FEIRA|JUN|JUNHO
540|2020-06-24 00:00:00|2,020|6|2|2020-06-22 00:00:00|(22/06 A 28/06)|2020/06|06/2020|4|2020/06 4|QUA|QUARTA-FEIRA|JUN|JUNHO
541|2020-06-25 00:00:00|2,020|6|2|2020-06-22 00:00:00|(22/06 A 28/06)|2020/06|06/2020|4|2020/06 4|QUI|QUINTA-FEIRA|JUN|JUNHO
542|2020-06-26 00:00:00|2,020|6|2|2020-06-22 00:00:00|(22/06 A 28/06)|2020/06|06/2020|4|2020/06 4|SEX|SEXTA-FEIRA|JUN|JUNHO
543|2020-06-27 00:00:00|2,020|6|2|2020-06-22 00:00:00|(22/06 A 28/06)|2020/06|06/2020|4|2020/06 4|SAB|SÁBADO|JUN|JUNHO
544|2020-06-28 00:00:00|2,020|6|2|2020-06-22 00:00:00|(22/06 A 28/06)|2020/06|06/2020|4|2020/06 4|DOM|DOMINGO|JUN|JUNHO
545|2020-06-29 00:00:00|2,020|6|2|2020-06-29 00:00:00|(29/06 A 05/07)|2020/06|06/2020|5|2020/06 5|SEG|SEGUNDA-FEIRA|JUN|JUNHO
546|2020-06-30 00:00:00|2,020|6|2|2020-06-29 00:00:00|(29/06 A 05/07)|2020/06|06/2020|5|2020/06 5|TER|TERÇA-FEIRA|JUN|JUNHO
547|2020-07-01 00:00:00|2,020|7|3|2020-06-29 00:00:00|(29/06 A 05/07)|2020/07|07/2020|5|2020/06 5|QUA|QUARTA-FEIRA|JUL|JULHO
548|2020-07-02 00:00:00|2,020|7|3|2020-06-29 00:00:00|(29/06 A 05/07)|2020/07|07/2020|5|2020/06 5|QUI|QUINTA-FEIRA|JUL|JULHO
549|2020-07-03 00:00:00|2,020|7|3|2020-06-29 00:00:00|(29/06 A 05/07)|2020/07|07/2020|5|2020/06 5|SEX|SEXTA-FEIRA|JUL|JULHO
550|2020-07-04 00:00:00|2,020|7|3|2020-06-29 00:00:00|(29/06 A 05/07)|2020/07|07/2020|5|2020/06 5|SAB|SÁBADO|JUL|JULHO
551|2020-07-05 00:00:00|2,020|7|3|2020-06-29 00:00:00|(29/06 A 05/07)|2020/07|07/2020|5|2020/06 5|DOM|DOMINGO|JUL|JULHO
552|2020-07-06 00:00:00|2,020|7|3|2020-07-06 00:00:00|(06/07 A 12/07)|2020/07|07/2020|1|2020/07 1|SEG|SEGUNDA-FEIRA|JUL|JULHO
553|2020-07-07 00:00:00|2,020|7|3|2020-07-06 00:00:00|(06/07 A 12/07)|2020/07|07/2020|1|2020/07 1|TER|TERÇA-FEIRA|JUL|JULHO
554|2020-07-08 00:00:00|2,020|7|3|2020-07-06 00:00:00|(06/07 A 12/07)|2020/07|07/2020|1|2020/07 1|QUA|QUARTA-FEIRA|JUL|JULHO
555|2020-07-09 00:00:00|2,020|7|3|2020-07-06 00:00:00|(06/07 A 12/07)|2020/07|07/2020|1|2020/07 1|QUI|QUINTA-FEIRA|JUL|JULHO
556|2020-07-10 00:00:00|2,020|7|3|2020-07-06 00:00:00|(06/07 A 12/07)|2020/07|07/2020|1|2020/07 1|SEX|SEXTA-FEIRA|JUL|JULHO
557|2020-07-11 00:00:00|2,020|7|3|2020-07-06 00:00:00|(06/07 A 12/07)|2020/07|07/2020|1|2020/07 1|SAB|SÁBADO|JUL|JULHO
558|2020-07-12 00:00:00|2,020|7|3|2020-07-06 00:00:00|(06/07 A 12/07)|2020/07|07/2020|1|2020/07 1|DOM|DOMINGO|JUL|JULHO
559|2020-07-13 00:00:00|2,020|7|3|2020-07-13 00:00:00|(13/07 A 19/07)|2020/07|07/2020|2|2020/07 2|SEG|SEGUNDA-FEIRA|JUL|JULHO
560|2020-07-14 00:00:00|2,020|7|3|2020-07-13 00:00:00|(13/07 A 19/07)|2020/07|07/2020|2|2020/07 2|TER|TERÇA-FEIRA|JUL|JULHO
561|2020-07-15 00:00:00|2,020|7|3|2020-07-13 00:00:00|(13/07 A 19/07)|2020/07|07/2020|2|2020/07 2|QUA|QUARTA-FEIRA|JUL|JULHO
562|2020-07-16 00:00:00|2,020|7|3|2020-07-13 00:00:00|(13/07 A 19/07)|2020/07|07/2020|2|2020/07 2|QUI|QUINTA-FEIRA|JUL|JULHO
563|2020-07-17 00:00:00|2,020|7|3|2020-07-13 00:00:00|(13/07 A 19/07)|2020/07|07/2020|2|2020/07 2|SEX|SEXTA-FEIRA|JUL|JULHO
564|2020-07-18 00:00:00|2,020|7|3|2020-07-13 00:00:00|(13/07 A 19/07)|2020/07|07/2020|2|2020/07 2|SAB|SÁBADO|JUL|JULHO
565|2020-07-19 00:00:00|2,020|7|3|2020-07-13 00:00:00|(13/07 A 19/07)|2020/07|07/2020|2|2020/07 2|DOM|DOMINGO|JUL|JULHO
566|2020-07-20 00:00:00|2,020|7|3|2020-07-20 00:00:00|(20/07 A 26/07)|2020/07|07/2020|3|2020/07 3|SEG|SEGUNDA-FEIRA|JUL|JULHO
567|2020-07-21 00:00:00|2,020|7|3|2020-07-20 00:00:00|(20/07 A 26/07)|2020/07|07/2020|3|2020/07 3|TER|TERÇA-FEIRA|JUL|JULHO
568|2020-07-22 00:00:00|2,020|7|3|2020-07-20 00:00:00|(20/07 A 26/07)|2020/07|07/2020|3|2020/07 3|QUA|QUARTA-FEIRA|JUL|JULHO
569|2020-07-23 00:00:00|2,020|7|3|2020-07-20 00:00:00|(20/07 A 26/07)|2020/07|07/2020|3|2020/07 3|QUI|QUINTA-FEIRA|JUL|JULHO
570|2020-07-24 00:00:00|2,020|7|3|2020-07-20 00:00:00|(20/07 A 26/07)|2020/07|07/2020|3|2020/07 3|SEX|SEXTA-FEIRA|JUL|JULHO
571|2020-07-25 00:00:00|2,020|7|3|2020-07-20 00:00:00|(20/07 A 26/07)|2020/07|07/2020|3|2020/07 3|SAB|SÁBADO|JUL|JULHO
572|2020-07-26 00:00:00|2,020|7|3|2020-07-20 00:00:00|(20/07 A 26/07)|2020/07|07/2020|3|2020/07 3|DOM|DOMINGO|JUL|JULHO
573|2020-07-27 00:00:00|2,020|7|3|2020-07-27 00:00:00|(27/07 A 02/08)|2020/07|07/2020|4|2020/07 4|SEG|SEGUNDA-FEIRA|JUL|JULHO
574|2020-07-28 00:00:00|2,020|7|3|2020-07-27 00:00:00|(27/07 A 02/08)|2020/07|07/2020|4|2020/07 4|TER|TERÇA-FEIRA|JUL|JULHO
575|2020-07-29 00:00:00|2,020|7|3|2020-07-27 00:00:00|(27/07 A 02/08)|2020/07|07/2020|4|2020/07 4|QUA|QUARTA-FEIRA|JUL|JULHO
576|2020-07-30 00:00:00|2,020|7|3|2020-07-27 00:00:00|(27/07 A 02/08)|2020/07|07/2020|4|2020/07 4|QUI|QUINTA-FEIRA|JUL|JULHO
577|2020-07-31 00:00:00|2,020|7|3|2020-07-27 00:00:00|(27/07 A 02/08)|2020/07|07/2020|4|2020/07 4|SEX|SEXTA-FEIRA|JUL|JULHO
578|2020-08-01 00:00:00|2,020|8|3|2020-07-27 00:00:00|(27/07 A 02/08)|2020/08|08/2020|4|2020/07 4|SAB|SÁBADO|AGO|AGOSTO
579|2020-08-02 00:00:00|2,020|8|3|2020-07-27 00:00:00|(27/07 A 02/08)|2020/08|08/2020|4|2020/07 4|DOM|DOMINGO|AGO|AGOSTO
580|2020-08-03 00:00:00|2,020|8|3|2020-08-03 00:00:00|(03/08 A 09/08)|2020/08|08/2020|1|2020/08 1|SEG|SEGUNDA-FEIRA|AGO|AGOSTO
581|2020-08-04 00:00:00|2,020|8|3|2020-08-03 00:00:00|(03/08 A 09/08)|2020/08|08/2020|1|2020/08 1|TER|TERÇA-FEIRA|AGO|AGOSTO
582|2020-08-05 00:00:00|2,020|8|3|2020-08-03 00:00:00|(03/08 A 09/08)|2020/08|08/2020|1|2020/08 1|QUA|QUARTA-FEIRA|AGO|AGOSTO
583|2020-08-06 00:00:00|2,020|8|3|2020-08-03 00:00:00|(03/08 A 09/08)|2020/08|08/2020|1|2020/08 1|QUI|QUINTA-FEIRA|AGO|AGOSTO
584|2020-08-07 00:00:00|2,020|8|3|2020-08-03 00:00:00|(03/08 A 09/08)|2020/08|08/2020|1|2020/08 1|SEX|SEXTA-FEIRA|AGO|AGOSTO
585|2020-08-08 00:00:00|2,020|8|3|2020-08-03 00:00:00|(03/08 A 09/08)|2020/08|08/2020|1|2020/08 1|SAB|SÁBADO|AGO|AGOSTO
586|2020-08-09 00:00:00|2,020|8|3|2020-08-03 00:00:00|(03/08 A 09/08)|2020/08|08/2020|1|2020/08 1|DOM|DOMINGO|AGO|AGOSTO
587|2020-08-10 00:00:00|2,020|8|3|2020-08-10 00:00:00|(10/08 A 16/08)|2020/08|08/2020|2|2020/08 2|SEG|SEGUNDA-FEIRA|AGO|AGOSTO
588|2020-08-11 00:00:00|2,020|8|3|2020-08-10 00:00:00|(10/08 A 16/08)|2020/08|08/2020|2|2020/08 2|TER|TERÇA-FEIRA|AGO|AGOSTO
589|2020-08-12 00:00:00|2,020|8|3|2020-08-10 00:00:00|(10/08 A 16/08)|2020/08|08/2020|2|2020/08 2|QUA|QUARTA-FEIRA|AGO|AGOSTO
590|2020-08-13 00:00:00|2,020|8|3|2020-08-10 00:00:00|(10/08 A 16/08)|2020/08|08/2020|2|2020/08 2|QUI|QUINTA-FEIRA|AGO|AGOSTO
591|2020-08-14 00:00:00|2,020|8|3|2020-08-10 00:00:00|(10/08 A 16/08)|2020/08|08/2020|2|2020/08 2|SEX|SEXTA-FEIRA|AGO|AGOSTO
592|2020-08-15 00:00:00|2,020|8|3|2020-08-10 00:00:00|(10/08 A 16/08)|2020/08|08/2020|2|2020/08 2|SAB|SÁBADO|AGO|AGOSTO
593|2020-08-16 00:00:00|2,020|8|3|2020-08-10 00:00:00|(10/08 A 16/08)|2020/08|08/2020|2|2020/08 2|DOM|DOMINGO|AGO|AGOSTO
594|2020-08-17 00:00:00|2,020|8|3|2020-08-17 00:00:00|(17/08 A 23/08)|2020/08|08/2020|3|2020/08 3|SEG|SEGUNDA-FEIRA|AGO|AGOSTO
595|2020-08-18 00:00:00|2,020|8|3|2020-08-17 00:00:00|(17/08 A 23/08)|2020/08|08/2020|3|2020/08 3|TER|TERÇA-FEIRA|AGO|AGOSTO
596|2020-08-19 00:00:00|2,020|8|3|2020-08-17 00:00:00|(17/08 A 23/08)|2020/08|08/2020|3|2020/08 3|QUA|QUARTA-FEIRA|AGO|AGOSTO
597|2020-08-20 00:00:00|2,020|8|3|2020-08-17 00:00:00|(17/08 A 23/08)|2020/08|08/2020|3|2020/08 3|QUI|QUINTA-FEIRA|AGO|AGOSTO
598|2020-08-21 00:00:00|2,020|8|3|2020-08-17 00:00:00|(17/08 A 23/08)|2020/08|08/2020|3|2020/08 3|SEX|SEXTA-FEIRA|AGO|AGOSTO
599|2020-08-22 00:00:00|2,020|8|3|2020-08-17 00:00:00|(17/08 A 23/08)|2020/08|08/2020|3|2020/08 3|SAB|SÁBADO|AGO|AGOSTO
600|2020-08-23 00:00:00|2,020|8|3|2020-08-17 00:00:00|(17/08 A 23/08)|2020/08|08/2020|3|2020/08 3|DOM|DOMINGO|AGO|AGOSTO
601|2020-08-24 00:00:00|2,020|8|3|2020-08-24 00:00:00|(24/08 A 30/08)|2020/08|08/2020|4|2020/08 4|SEG|SEGUNDA-FEIRA|AGO|AGOSTO
602|2020-08-25 00:00:00|2,020|8|3|2020-08-24 00:00:00|(24/08 A 30/08)|2020/08|08/2020|4|2020/08 4|TER|TERÇA-FEIRA|AGO|AGOSTO
603|2020-08-26 00:00:00|2,020|8|3|2020-08-24 00:00:00|(24/08 A 30/08)|2020/08|08/2020|4|2020/08 4|QUA|QUARTA-FEIRA|AGO|AGOSTO
604|2020-08-27 00:00:00|2,020|8|3|2020-08-24 00:00:00|(24/08 A 30/08)|2020/08|08/2020|4|2020/08 4|QUI|QUINTA-FEIRA|AGO|AGOSTO
605|2020-08-28 00:00:00|2,020|8|3|2020-08-24 00:00:00|(24/08 A 30/08)|2020/08|08/2020|4|2020/08 4|SEX|SEXTA-FEIRA|AGO|AGOSTO
606|2020-08-29 00:00:00|2,020|8|3|2020-08-24 00:00:00|(24/08 A 30/08)|2020/08|08/2020|4|2020/08 4|SAB|SÁBADO|AGO|AGOSTO
607|2020-08-30 00:00:00|2,020|8|3|2020-08-24 00:00:00|(24/08 A 30/08)|2020/08|08/2020|4|2020/08 4|DOM|DOMINGO|AGO|AGOSTO
